,Salesforce,Spotify,Amazon,Facebook,Google,NYU_Tandon,CUNY_Tech,CUNY_BOM,CUNY_HUNTER,Columbia
0,5 AVE-BRYANT PK,CORTLANDT ST,34 ST-PENN STA,ASTOR PLACE,14 ST,JAY ST-METROTEC,JAY ST-METROTEC,CANAL ST,68 ST-HUNTER COL,125 ST
1,609,624,164,407,601,636,636,169,399,306
