WEEKDAY,HOUR,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC,DATETIME,DOW,Avg/TnStl,# of Turnstiles,HOUR,DATETIME,TOTAL,Avg/Hr
Monday,7,0,CANAL ST_R118_A066_00-00-02,12,9,21,4,5.25,6/4/18 5:00,,,,,,,
Monday,11,0,CANAL ST_R118_A066_00-00-02,163,175,338,4,84.5,6/4/18 9:00,,,,,,,
Monday,15,0,CANAL ST_R118_A066_00-00-02,533,427,960,4,240,6/4/18 13:00,,,,,,,
Monday,19,0,CANAL ST_R118_A066_00-00-02,1120,133,1253,4,313.25,6/4/18 17:00,,,,,,,
Monday,23,0,CANAL ST_R118_A066_00-00-02,1454,60,1514,4,378.5,6/4/18 21:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-00-00,112,187,299,4,74.75,6/4/18 0:00,,,,,,,
Monday,6,0,CANAL ST_R139_N089_00-00-00,15,24,39,4,9.75,6/4/18 4:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-00-00,21,306,327,4,81.75,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-00-00,67,897,964,4,241,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-00-00,168,511,679,4,169.75,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-00-00,477,529,1006,4,251.5,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-00-01,56,51,107,4,26.75,6/4/18 0:00,,,,,,,
Monday,6,0,CANAL ST_R139_N089_00-00-01,5,2,7,4,1.75,6/4/18 4:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-00-01,16,54,70,4,17.5,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-00-01,39,199,238,4,59.5,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-00-01,71,116,187,4,46.75,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-00-01,230,148,378,4,94.5,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-00-02,28,11,39,4,9.75,6/4/18 0:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-00-02,14,10,24,8,3,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-00-02,25,65,90,4,22.5,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-00-02,46,48,94,4,23.5,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-00-02,166,28,194,4,48.5,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-03-00,25,10,35,4,8.75,6/4/18 0:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-03-00,5,13,18,8,2.25,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-03-00,38,130,168,4,42,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-03-00,60,74,134,4,33.5,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-03-00,233,100,333,4,83.25,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-03-01,76,20,96,4,24,6/4/18 0:00,,,,,,,
Monday,6,0,CANAL ST_R139_N089_00-03-01,6,1,7,4,1.75,6/4/18 4:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-03-01,14,44,58,4,14.5,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-03-01,93,217,310,4,77.5,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-03-01,173,129,302,4,75.5,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-03-01,539,122,661,4,165.25,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-03-02,217,51,268,4,67,6/4/18 0:00,,,,,,,
Monday,6,0,CANAL ST_R139_N089_00-03-02,33,8,41,4,10.25,6/4/18 4:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-03-02,89,141,230,4,57.5,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-03-02,346,470,816,4,204,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-03-02,513,230,743,4,185.75,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-03-02,1134,106,1240,4,310,6/4/18 20:00,,,,,,,
Monday,2,0,CANAL ST_R139_N089_00-04-00,202,11,213,4,53.25,6/4/18 0:00,,,,,,,
Monday,6,0,CANAL ST_R139_N089_00-04-00,27,3,30,4,7.5,6/4/18 4:00,,,,,,,
Monday,10,0,CANAL ST_R139_N089_00-04-00,107,31,138,4,34.5,6/4/18 8:00,,,,,,,
Monday,14,0,CANAL ST_R139_N089_00-04-00,299,132,431,4,107.75,6/4/18 12:00,,,,,,,
Monday,18,0,CANAL ST_R139_N089_00-04-00,592,31,623,4,155.75,6/4/18 16:00,,,,,,,
Monday,22,0,CANAL ST_R139_N089_00-04-00,1316,36,1352,4,338,6/4/18 20:00,,,,,,,
